Timestamp,Battery Level,Profile,Power State,CPU Freq,Temperature
1780089842,56,balanced,DEEP_IDLE,633600,41562
1780113230,54,balanced,SLEEP_IDLE,1401600,34982
1780115510,49,balanced,LIGHT_IDLE,633600,41104
1780118024,46,balanced,LIGHT_IDLE,1113600,42134
1780118300,43,balanced,LIGHT_IDLE,1401600,45339
1780119725,39,deep,DEEP_IDLE,1401600,43565
1780120870,35,balanced,DEEP_IDLE,1401600,43050
1780121822,45,balanced,LIGHT_IDLE,1401600,44137
1780123353,68,balanced,DEEP_IDLE,633600,44366
1780124328,80,balanced,DEEP_IDLE,633600,54036
1780124929,87,deep,LIGHT_IDLE,1401600,58442
1780125383,91,balanced,LIGHT_IDLE,633600,46369
1780126575,98,balanced,LIGHT_IDLE,633600,48600
1780127463,100,balanced,LIGHT_IDLE,633600,42764
1780128063,97,balanced,LIGHT_IDLE,1401600,45682
1780128242,95,balanced,LIGHT_IDLE,1401600,45453
1780128612,92,balanced,LIGHT_IDLE,1401600,48028
1780129399,89,deep,LIGHT_IDLE,902400,45339
